Name,Accuracy,Veracity,AccL,AccU,VerL,VerU
(Intercept),0.18,0.21,0.05,0.7,0.06,0.72
socialRadios2,2.03,0.99,1.48,2.8,0.73,1.33
tweetRateRadios2,1.24,1.06,0.76,2.03,0.65,1.72
fairnessRadios2,1.3,0.74,0.99,1.72,0.56,0.96
entityRadios2,1.43,1.77,0.99,2.07,1.25,2.51
fearRadios2,1.53,0.9,1.17,2.02,0.7,1.16
opiniatedRadios2,2.78,2.74,1.91,4.09,1.91,4
accountName@AddInfoOrg,9.86,117.96,2.83,39.66,35.81,472.36
accountName@NatCounterPunch,1.9,9.7,0.62,5.95,3.56,28.09
accountName@nytimes,0.95,0.84,0.36,2.52,0.33,2.09
accountName@Reuters,0.9,2.13,0.35,2.26,0.89,5.24
accountName@SGTreport,4.91,24.21,1.65,15.17,8.98,70.55
accountName@TIME,0.36,5.7,0.14,0.95,2.28,14.92
accountName@zerohedge,3.7,18.89,1.02,13.75,5.53,68.24
confidence,1.14,0.86,0.95,1.38,0.72,1.03
groupConfirm,1.97,0.91,1.1,3.56,0.53,1.57
groupDisconfirm,1.16,0.75,0.66,2.05,0.44,1.28
