Timestamp,Participant ID,What is your age?,What is your gender?,What is your ethnicity? (Check all that apply),What is your occupation?,What is your major? Check all that apply:,How often do you use Google map in your daily activities?,How often do you use Twitter in your daily activities?,How familiar are you with data visualization?,How often do you consume news from social media?,"Would you consider yourself to be a Republican, a Democrat, an Independent, or Other?",Is talkative,Tends to find fault with others,Does a thorough job,"Is depressed, blue","Is original, comes up with new ideas",Is reserved,Is helpful and unselfish with others,Can be somewhat careless,"Is relaxed, handles stress well",Is curious about many different things,Is full of energy,Starts quarrels with others,Is a reliable worker,Can be tense,"Is ingenious, a deep thinker",Generates a lot of enthusiasm,Has a forgiving nature,Tends to be disorganized,Worries a lot,Has an active imagination,Tends to be quiet,Is generally trusting,Tends to be lazy,"Is emotionally stable, not easily upset",Is inventive,Has an assertive personality,Can be cold and aloof,Perseveres until the task is finished,Can be moody,"Values artistic, aesthetic experiences","Is sometimes shy, inhibited",Is considerate and kind to almost everyone,Does things efficiently,Remains calm in tense situations,Prefers work that is routine,"Is outgoing, sociable",Is sometimes rude to others,Makes plans and follows through with them,Gets nervous easily,"Likes to reflect, play with ideas",Has few artistic interests,Likes to cooperate with others,Is easily distracted,"Is sophisticated in art, music, or literature"
7/17/2017 10:35:41,TC-2,20,Male,"Arabian, Egyptian or Maghreb",Undergraduate,Computer Science,6,5,5,6,Independent,5,3,5,3,5,5,5,4,3,6,5,3,6,6,6,5,6,4,6,5,5,5,4,4,5,3,3,4,4,4,5,5,5,5,4,6,4,6,4,6,5,5,5,3
7/17/2017 10:37:06,TC-1,24,Male,White/Caucasian/European,Undergraduate,Business,5,1,4,7,Independent,4,3,6,3,3,5,6,5,4,6,2,1,6,6,2,5,7,5,3,7,4,5,6,6,2,2,2,5,3,6,4,4,5,5,6,4,3,6,4,4,5,6,3,1
7/17/2017 12:09:09,TD-1,20,Demigirl,"White/Caucasian/European, East Asian e.g.  Chinese, Japanese, South-East Asian",Undergraduate,Computer Science,6,4,4,7,Democrat,4,6,6,2,5,3,6,3,5,5,5,3,6,5,5,4,3,5,5,5,5,7,7,6,5,4,5,5,5,5,5,6,5,6,5,4,5,4,5,5,2,3,5,6
7/17/2017 12:10:34,TD-2,34,Female,Black/African,Undergraduate,Undeclared,2,2,1,5,Independent,3,4,5,1,6,5,6,2,4,5,3,1,4,2,5,5,6,3,2,6,4,6,5,4,5,4,2,5,4,5,3,6,4,5,3,6,2,4,3,6,2,5,4,3
7/17/2017 14:15:05,CC-1,26,Male,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Engineering management,7,1,2,5,Independent,6,4,6,1,5,1,7,4,4,6,7,5,6,4,6,7,7,4,6,5,6,7,2,6,6,4,6,7,7,7,6,6,6,4,5,5,3,5,6,6,5,7,4,5
7/17/2017 14:18:00,CC-2,26,Female,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,6,3,5,5,Democrat,6,4,6,3,4,4,5,2,4,5,6,2,7,6,7,5,5,1,5,6,3,7,4,4,4,5,2,6,1,7,4,7,7,4,3,6,4,7,3,6,6,7,3,5
7/18/2017 12:29:24,CC-3,25,Male,White/Caucasian/European,Undergraduate,Computer Science,4,1,2,1,Nationalist,5,3,6,4,6,3,6,5,4,7,6,2,6,6,6,4,6,5,6,7,4,5,5,5,5,5,4,5,4,5,4,5,4,7,4,6,5,5,6,7,4,6,7,2
7/18/2017 12:31:47,CC-4,24,Female,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,7,1,3,3,Independent,3,5,6,4,4,6,4,5,4,3,5,4,6,7,6,5,4,3,6,7,5,7,4,3,4,5,1,6,6,4,4,5,5,2,2,4,3,5,6,3,1,5,3,1
7/18/2017 16:06:35,TC-4,21,Male,White/Caucasian/European,Undergraduate,Computer Science,4,2,5,7,Democrat,3,4,6,3,5,5,5,2,6,6,4,1,6,2,6,5,6,4,2,7,5,6,2,7,5,4,2,6,1,7,6,7,5,7,6,4,1,6,2,7,2,5,5,4
7/18/2017 16:07:50,TC-3,28,Female,White/Caucasian/European,PhD,Computer Science,4,1,2,4,Democrat,2,5,3,2,5,3,6,5,3,5,4,2,5,5,5,5,5,6,5,5,3,5,3,3,5,5,3,3,5,5,3,5,3,3,3,3,5,3,5,5,5,6,6,5
