screen_name,anger,disgust,fear,joy,sadness,surprise,polarity values,negative,neutral,positive
100PercFEDUP,43.7186054671,42.1706788662,182.1431566469,167.4113517901,78.9038273436,267.6523798861,46.6798091781,146.2597259963,437.4725868652,198.2676871385
ABC,76.4772720459,34.963807557,313.1007293979,435.3454372735,170.3930676934,522.7196860323,71.6104066767,294.3758983243,881.9662809057,376.65782077
AP,65.1486341707,60.3732527157,272.418407352,375.3174061913,178.2764026201,433.4658969502,71.6268435268,269.7066867833,834.6270123525,280.6663008642
ActivistPost,27.9790416283,17.6852494177,123.4019708632,140.6303547968,64.2556878322,189.0476954618,10.9882451299,96.8982196648,334.5442047379,131.5575755973
AddInfoOrg,5.2743702889,5.7260516317,18.6208443933,26.2925826072,14.0916309792,40.9945200996,0.4102453102,29.7169016039,60.2128814391,21.070216957
AnonymousNewsHQ,4.6253628774,3.0262929252,29.2324767071,34.0828514986,23.1753774582,56.8576385335,4.7801857864,29.4275628592,87.4890094261,34.0834277147
AntiMedia,17.7118517492,14.9993400523,113.1682620801,115.1262718078,58.6963624146,203.297911896,18.6804108045,85.6454158194,325.2573964478,112.0971877328
BBCWorld,38.1673039044,24.089279352,139.4910460504,203.1160827732,105.310938605,293.825349315,5.7679719817,142.9579798181,491.063569822,169.9784503599
BIZPACReview,50.4557040494,40.1289369054,185.5406314654,192.5591018836,107.870978271,309.4446474252,4.2041337829,185.5975702436,499.4907648994,200.911664857
Bipartisanism,30.9997722184,17.0173926887,71.0780889656,126.6908018757,75.2498543837,165.9640898679,-12.9707276057,97.7004383706,288.5123156817,100.7872459477
BlacklistedNews,15.1853227065,6.8335649513,84.672547938,82.0345318443,41.7044386959,125.5695938641,5.521637506,70.3655837271,211.2281747552,74.4062415177
CBSNews,74.408298426,38.2082206417,368.6514635439,431.6577534571,192.080451591,571.9938123402,63.1611093074,325.932276006,964.4026612824,386.6650627117
CNN,96.5528927831,51.8952145195,452.9903546395,513.5947131525,217.3452774608,727.6215474446,77.4262490981,356.3527895883,1249.1461902543,454.5010201574
CRG_CRM,7.7007273797,2.5541692483,63.601067809,45.4402085304,25.7537583012,79.9500687314,-1.4160560967,37.5837329557,132.681659158,54.7346078863
Counter_info,9.9138782016,3.7482676288,62.122997227,65.0708776016,31.5157508084,93.6282285325,-5.0191486291,40.7328907283,157.504329407,67.7627798647
DCClothesline,20.7307902217,12.4361846804,66.4851949171,99.4011220892,51.2727229776,148.673985114,4.2025252525,82.1585259652,227.794168669,89.0473053658
DiscloseTV,2.9416719902,2.8744844871,24.9088403663,22.7861486709,8.2359413298,38.2529131559,5.5377913753,14.6563604504,61.7490596669,23.5945798827
ForeignAffairs,21.4028933451,7.285774112,123.3198373989,112.8090792853,54.1522735925,140.0301422662,12.4817316017,90.0175153201,266.0428331088,102.9396515711
FoxNews,105.104965455,57.7490614378,521.3060742471,633.4302257549,258.6420319824,800.7676411227,70.0568399887,411.960378774,1431.5107077237,533.5289135023
HealthRanger,24.9480508162,15.4872607927,82.7823973946,115.8953621397,39.5168401993,128.3700886575,17.5115953953,69.8803706264,244.6991600825,92.420469291
