screen_name,strong_positive,strong_negative,strong_neutral,weak_positive,weak_negative,weak_neutral
100PercFEDUP,58,104,20,94,109,16
ABC,99,188,51,227,415,108
AP,72,120,22,207,424,78
ActivistPost,17,55,12,56,109,15
AddInfoOrg,1,12,0,11,15,2
AnonymousNewsHQ,6,10,3,16,18,3
AntiMedia,16,19,33,36,64,17
BBCWorld,28,86,8,87,172,16
BIZPACReview,87,197,26,106,157,43
Bipartisanism,27,70,13,39,45,5
BlacklistedNews,8,45,2,27,66,7
CBSNews,108,228,34,235,403,92
CNN,149,296,69,307,419,106
CRG_CRM,6,26,3,16,59,6
Counter_info,5,35,2,20,57,4
DCClothesline,5,40,4,54,78,4
DiscloseTV,2,18,4,15,11,3
ForeignAffairs,23,76,9,89,80,31
FoxNews,143,306,67,303,457,114
HealthRanger,21,43,17,92,124,19
HenryMakow,20,68,15,44,70,11
HuffPost,50,50,18,54,73,16
InvestWatchBlog,46,182,23,136,236,45
KingWorldNews,3,2,0,13,1,1
LibAmericaOrg,12,26,3,20,22,2
LightAlexander,2,9,3,11,19,1
MSNBC,21,66,22,97,82,22
MintPressNews,16,46,7,42,80,2
NBCNews,56,114,21,148,265,44
NPR,93,114,64,234,249,71
NRO,67,95,32,87,91,24
NatCounterPunch,7,27,3,9,17,5
NewRepublic,48,109,18,132,74,50
NewYorker,88,107,14,105,99,29
NewsBiscuit,4,3,1,11,3,5
NowTheEndBegins,9,14,2,13,13,4
OccupyDemocrats,29,76,17,36,62,9
RealNewsTarget,20,48,14,59,64,21
Reuters,62,130,13,238,268,75
SGTreport,8,9,3,22,23,6
SOTTnet,35,146,21,128,235,59
SatiraTribune,2,0,1,1,0,0
SilverDoctors,1,6,0,29,6,0
Slate,232,412,60,237,332,110
SleuthJournal,2,7,0,12,15,1
TIME,149,222,82,256,370,110
TRUNEWS,10,19,5,26,39,4
TheAtlantic,82,87,25,109,125,50
TheDailySheeple,4,31,4,13,30,4
TheEconomist,177,211,16,197,239,86
TheEvent2014,3,14,6,8,20,2
TwitchyTeam,37,74,12,58,79,11
USATODAY,155,186,72,252,342,101
WSJ,81,134,24,241,294,102
WakingTimes,12,35,5,33,57,14
WorldTruthTV,43,111,49,154,300,36
YahooNews,62,115,28,181,285,76
barenakedislam,10,21,8,10,57,3
bigpzone,1,18,2,6,12,3
business,203,404,68,693,537,287
csmonitor,120,209,155,588,386,128
engpravda,2,11,2,26,34,12
govtslaves,13,41,6,36,94,13
guardian,264,410,61,506,793,118
infowars,10,43,7,37,70,9
intellihubnews,2,6,5,6,22,6
latimes,71,115,30,153,202,75
ncscooper,3,6,3,6,17,1
nytimes,130,178,97,194,318,106
politico,104,179,52,288,250,78
politicususa,9,37,10,34,26,4
realDailyWire,78,106,49,114,127,21
realtruthkings,33,31,12,23,24,23
redflagnews,3,28,5,7,35,1
rinf_community,23,126,8,110,276,36
theinquisitr,6,37,1,10,63,1
thenation,36,89,30,64,74,20
therussophile,230,764,102,925,1405,246
vigilantfeed,0,1,0,0,1,0
washingtonpost,109,214,54,212,318,91
weeklystandard,15,36,4,30,32,1
yournewswire,5,15,1,17,31,4
zerohedge,58,148,20,190,214,68
