"twitter account","LABEL","Valid","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"100percfedup","clickbait","Yes","https://t.co/UwJ2cIvliu We publish news w/out lib bias #Jesus #Conservative #ProLife #Trump We follow all vets back #AndrewBreitbartLives #War We are not PC",61692,14758,23793,5572,"https://t.co/fFfpLJkrC7","100% FED UP!","2010-05-08T02:07:27Z","FALSE","FALSE","100PercFEDUP",,"en",141422795,162,"FALSE","http://pbs.twimg.com/profile_images/626864538596605956/TvQBryhA_normal.jpg"
"2012gregg","propaganda","Yes","Welcome to your awakening!  I'm the webmaster of http://t.co/ScAA39tMF9, http://t.co/IvD0fxQx8k, and http://t.co/XijL28xsUk .",5202,2286,1,15,"http://www.in5d.com/","2012gregg","2009-03-30T06:44:32Z","FALSE","FALSE","2012gregg",,"en",27598017,79,"FALSE","http://pbs.twimg.com/profile_images/812328479656067072/8rAlR7Pw_normal.jpg"
"21wire","clickbait","Yes","We're covering news you won't necessarily find in the mainstream, and things which regularly confuse career politicians, CNN and MSNBC viewers... #SundayWire",14460,13091,2336,1465,"http://t.co/BfLXQKwqm8","21st Century Wire","2008-10-23T22:03:55Z","FALSE","FALSE","21WIRE","USA","en",16936686,336,"FALSE","http://pbs.twimg.com/profile_images/546464691036241920/NjjmRqJU_normal.jpeg"
"abovetopsecret","propaganda","Yes","The biggest and most popular conspiracy theory website.",93511,80642,159,446,"http://t.co/ZaBQw4fHGD","AboveTopSecret","2008-03-24T19:31:16Z","FALSE","FALSE","AboveTopSecret","Online","en",14210021,1533,"FALSE","http://pbs.twimg.com/profile_images/564846463625089024/-x_6aVet_normal.jpeg"
"activistpost","clickbait","Yes","Propaganda for peace, love and liberty.",102511,26092,3508,499,"http://t.co/2wvk8RwVwG","Activist Post","2010-06-11T13:54:14Z","FALSE","FALSE","ActivistPost","The Matrix","en",154532994,943,"FALSE","http://pbs.twimg.com/profile_images/709886591976628224/6kjfjyZD_normal.jpg"
"addinfoorg","clickbait","Yes","This is the official Twitter of the https://t.co/qwcwklVUqt website. We provide honest analysis of current events.",28654,22445,88,854,"https://t.co/7tGRYnSXWd","Addicting Info","2010-09-07T18:34:57Z","FALSE","FALSE","AddInfoOrg",,"en",188014427,636,"FALSE","http://pbs.twimg.com/profile_images/1208579402/newlogo_normal.jpg"
"aff_patriots","clickbait","Yes","We are dedicated to exposing the mainstream media corruption. We were one of the first online publications to endorse Donald J. Trump for POTUS.",7897,5553,241,856,"https://t.co/QnMRuylyvn","AFF News & Politics","2014-04-20T08:34:33Z","FALSE","FALSE","AFF_PATRIOTS","usa","en",2454479347,67,"FALSE","http://pbs.twimg.com/profile_images/564180259147227136/NVUPOGxY_normal.jpeg"
"ahtribune","propaganda","Yes","American Herald Tribune is a genuinely independent online media.",21351,2381,15285,1031,"https://t.co/k8uaJISWa8","AHTribune","2015-10-14T13:26:03Z","FALSE","FALSE","AHTribune",,"en",3956151875,104,"FALSE","http://pbs.twimg.com/profile_images/664296895192375296/JSQBqNe5_normal.png"
"amlookout","clickbait","Yes",,4220,2043,4,97,"https://t.co/MNsXLR0jp1","American Lookout","2016-06-30T16:38:15Z","FALSE","FALSE","amlookout",,"en",7.48556263055835E+017,25,"FALSE","http://pbs.twimg.com/profile_images/751118433291411456/aPLWU6KL_normal.jpg"
"amrenaissance","propaganda","Yes","America's premier source for race-realist thought.",1515,21636,0,144,"http://t.co/qr0de93fxF","American Renaissance","2011-06-22T14:39:29Z","FALSE","TRUE","AmRenaissance","Oakton, Virginia","en",322027737,224,"FALSE","http://pbs.twimg.com/profile_images/839164350971658244/RpwWZqmi_normal.jpg"
"amtvmedia","propaganda","Yes","The creator of ALTERNATIVE MEDIA TELEVISION®. 'Hard-hitting and in your face!' #amtv SUBSCRIBE NOW: https://t.co/GCCfViwZSr",9937,34032,639,153,"https://t.co/TI1iARAbxQ","Christopher Greene","2010-08-26T00:35:45Z","FALSE","FALSE","amtvmedia","Arizona, USA","en",183036873,441,"FALSE","http://pbs.twimg.com/profile_images/792096525807554560/m1h8FOAl_normal.jpg"
"anonews_co","clickbait","Yes","Anonymous - Independent Investigative News",737,4144,0,2,"https://t.co/uS5FtZk1rf","Anonymous","2016-01-12T00:24:34Z","FALSE","FALSE","anonews_co",,"en",4779120929,44,"FALSE","http://pbs.twimg.com/profile_images/694638880872599552/QkY3eaOz_normal.png"
"anonymousnewshq","propaganda","Yes","AnonHQ. Independent News. Uncovering The Truth.",6742,30051,0,27,"http://t.co/67mOzJ66uO","AnonymousArmy","2014-10-28T18:59:22Z","FALSE","FALSE","AnonymousNewsHQ","AnonymousCountry","en",2848616367,242,"FALSE","http://pbs.twimg.com/profile_images/527173105924337664/QR_ByiSr_normal.png"
"antimedia","propaganda","Yes","The Homepage of Independent Media.",65695,42152,29334,900,"https://t.co/Qfec3VHtyN","Anti-Media","2012-07-12T05:21:30Z","FALSE","FALSE","AntiMedia",,"en",633485518,1064,"FALSE","http://pbs.twimg.com/profile_images/850118554938744833/GNonVcLC_normal.jpg"
"antiwarcom","propaganda","Yes","20 years of Non-interventionism. #Guantanamo & #FreeChelsea #bitcoin Tweets by Angela Keaton @ThomasLKnapp & the peace bots",42266,35348,8561,6265,"https://t.co/udHJ5AZiH8","Antiwar.com","2008-07-20T16:05:20Z","FALSE","FALSE","Antiwarcom","San Francisco/WeHo/Austin ","en",15503210,1392,"FALSE","http://pbs.twimg.com/profile_images/643924830882918400/zq7Mt-iA_normal.png"
"barenakedislam","propaganda","Yes","It isn't Islamophobia when they really ARE trying to kill you",22485,21153,2,398,"http://t.co/antuyqgbiG","barenakedislam","2008-12-14T16:35:47Z","FALSE","FALSE","barenakedislam",,"en",18118505,345,"FALSE","http://pbs.twimg.com/profile_images/1027102844/4bc1a413f455279fb410e8089048c4e2_normal.jpeg"
"beforeitsnews","propaganda","Yes","We specialize in publishing the news that the mainstream media ignores.",330243,64099,1,9773,"http://beforeitsnews.com","Before It's News","2009-09-12T04:45:44Z","FALSE","FALSE","beforeitsnews",,"en",73572581,1747,"FALSE","http://pbs.twimg.com/profile_images/556349385856933889/yIpMaACM_normal.jpeg"
