_id,user_id,account_id,submittedTime,currentTimeString,responses,verifyRadios,socialRadios,tweetRateRadios,fairnessRadios,entityRadios,fearRadios,opiniatedRadios,accounts-importance,network-importance,tweets-importance,geo-importance,entity-importance,confidence,commentBox
596cd0b36bbc0dfea3c13a48,TC-1,02,1500303561162,2017-07-17T14:59:21.162Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '1'}, {'name': 'network-importance', 'value': '3'}, {'name': 'tweets-importance', 'value': '5'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': ''}]",real,1,0,1,1,1,0,1,3,5,1,4,6,
596cd1a36bbc0dfea3c13b7b,TC-1,04,1500303800975,2017-07-17T15:03:20.975Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '1'}, {'name': 'network-importance', 'value': '6'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '7'}, {'name': 'commentBox', 'value': ''}]",fake,0,1,0,1,0,1,1,6,6,1,4,7,
596cd2846bbc0dfea3c13cf4,TC-1,39,1500304025270,2017-07-17T15:07:05.270Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '-1'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '-1'}, {'name': 'accounts-importance', 'value': '1'}, {'name': 'network-importance', 'value': '7'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '1'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': ''}]",fake,0,1,-1,1,0,-1,1,7,7,1,1,6,
596cd3216bbc0dfea3c13dbc,TC-2,02,1500304181814,2017-07-17T15:09:41.814Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '-1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '5'}, {'name': 'network-importance', 'value': '4'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '4'}, {'name': 'entity-importance', 'value': '3'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': ''}]",real,0,0,1,-1,1,0,5,4,7,4,3,6,
596cd39b6bbc0dfea3c13e8d,TC-2,04,1500304303905,2017-07-17T15:11:43.905Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '-1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '4'}, {'name': 'network-importance', 'value': '6'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '3'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': ''}]",fake,0,1,0,1,-1,1,4,6,7,3,4,6,
596cd3c86bbc0dfea3c13e9c,TC-1,48,1500304350105,2017-07-17T15:12:30.105Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '-1'}, {'name': 'accounts-importance', 'value': '1'}, {'name': 'network-importance', 'value': '7'}, {'name': 'tweets-importance', 'value': '5'}, {'name': 'geo-importance', 'value': '2'}, {'name': 'entity-importance', 'value': '1'}, {'name': 'confidence', 'value': '5'}, {'name': 'commentBox', 'value': ''}]",fake,1,1,1,1,1,-1,1,7,5,2,1,5,
596cd4a17713f6331984691b,TC-1,56,1500304567202,2017-07-17T15:16:07.202Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '1'}, {'name': 'network-importance', 'value': '6'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '1'}, {'name': 'confidence', 'value': '5'}, {'name': 'commentBox', 'value': ''}]",fake,0,1,0,1,1,0,1,6,6,1,1,5,
596cd4bb7713f6331984696a,TC-2,39,1500304591382,2017-07-17T15:16:31.382Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '4'}, {'name': 'network-importance', 'value': '5'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '4'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '5'}, {'name': 'commentBox', 'value': 'This account contained both headlines that would be seen from common ""Real News"" accounts and also some punditry.'}]",real,0,1,1,0,1,1,4,5,7,4,4,5,"This account contained both headlines that would be seen from common ""Real News"" accounts and also some punditry."
596cd55c7713f63319846a3b,TC-1,59,1500304754536,2017-07-17T15:19:14.536Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '1'}, {'name': 'network-importance', 'value': '3'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '7'}, {'name': 'commentBox', 'value': 'I just read the tweets and it seemed obvious to me.'}]",fake,1,1,0,1,1,1,1,3,7,1,4,7,I just read the tweets and it seemed obvious to me.
596cd5b27713f63319846ab1,TC-2,48,1500304838692,2017-07-17T15:20:38.692Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '-1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '5'}, {'name': 'network-importance', 'value': '5'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '4'}, {'name': 'entity-importance', 'value': '3'}, {'name': 'confidence', 'value': '5'}, {'name': 'commentBox', 'value': ''}]",real,1,0,1,-1,1,1,5,5,7,4,3,5,
